iter	TotalF1	MultiClass
0	0.5162682124	1.09242759
1	0.504518531	1.086713875
2	0.5006641693	1.081260327
3	0.4986901895	1.07644506
4	0.4982082459	1.071279686
5	0.4875734795	1.066334492
6	0.4916024188	1.061468123
7	0.4925667337	1.056621543
8	0.4893381399	1.052275882
9	0.4905364637	1.047774125
10	0.4942109567	1.043424758
11	0.4898935319	1.039216405
12	0.4891452474	1.035117659
13	0.4901807302	1.031466827
14	0.4910763828	1.027928751
15	0.4933773227	1.024321227
16	0.4902268985	1.021276581
17	0.4904941716	1.017785525
18	0.4880349678	1.014731279
19	0.4912807713	1.011439516
20	0.494338542	1.008079921
21	0.4936083849	1.004794911
22	0.4961740468	1.001954456
23	0.4965442591	0.9988533993
24	0.4943012137	0.9963116871
25	0.4953795083	0.9933988045
26	0.4953853764	0.991028421
27	0.4960010006	0.9884210108
28	0.4968552322	0.9859759394
29	0.4958078261	0.9834756607
30	0.4946824898	0.9811948097
31	0.4955035125	0.979069806
32	0.4950907831	0.9765956715
33	0.4967250015	0.9743476879
34	0.4972150375	0.9722274972
35	0.4975447358	0.969929492
36	0.4978981994	0.9677452761
37	0.4973774262	0.9660336976
38	0.4987218294	0.9640427884
39	0.4982438908	0.9620918421
40	0.4995669417	0.9601562525
41	0.4979958128	0.9581162096
42	0.4995269694	0.9563178001
43	0.5010021659	0.9546015397
44	0.5013251143	0.9523326179
45	0.5035126296	0.9504427024
46	0.5056090208	0.9483858701
47	0.5054627365	0.9464541885
48	0.5073025618	0.944521451
49	0.5066262306	0.943052476
50	0.5094325066	0.9413079909
51	0.5093016559	0.9399461348
52	0.5120199085	0.9378785028
53	0.5127148098	0.9361138958
54	0.5135633504	0.9345486334
55	0.5136610993	0.9329995705
56	0.5147149686	0.9317365538
57	0.5140133023	0.9304908304
58	0.5129762248	0.929307987
59	0.51390906	0.9277780191
60	0.5139949732	0.9260261347
61	0.5145468622	0.924793555
62	0.5156631706	0.9234054341
63	0.5178381138	0.9221191232
64	0.5183101286	0.9208105058
65	0.5186577468	0.9193016027
66	0.519981989	0.9180336611
67	0.5211961784	0.9169322517
68	0.5212011885	0.9157760721
69	0.5240099301	0.9143953751
70	0.5243812176	0.9128406846
71	0.5244642577	0.9114113393
72	0.5256241917	0.9100004494
73	0.524134769	0.9084546168
74	0.5261300084	0.9070022809
75	0.5254321356	0.9057141214
76	0.5278487195	0.9040604842
77	0.528719319	0.903023789
78	0.529792612	0.9018728645
79	0.5282641863	0.9007480153
80	0.5292729937	0.8996899966
81	0.5306426351	0.8986518774
82	0.5297176929	0.8973758372
83	0.5323069185	0.8959632802
84	0.5329181255	0.8946176103
85	0.5353409172	0.893539331
86	0.5371145851	0.8927279964
87	0.5368741238	0.8913596245
88	0.5370819893	0.890293827
89	0.5387896495	0.8890675602
90	0.5397149458	0.8880375549
91	0.5410117531	0.8869029986
92	0.5406291053	0.8856398266
93	0.5425792456	0.884224231
94	0.5443895282	0.8829439278
95	0.545564739	0.8817614583
96	0.5472667637	0.8805073709
97	0.5484554237	0.8794203737
98	0.5475437248	0.8784299559
99	0.5468850342	0.8774705484
100	0.5493307162	0.8763573509
101	0.5513399124	0.8754909789
102	0.5524605476	0.8746304286
103	0.5524233991	0.8738753736
104	0.5550943848	0.8724281637
105	0.556759168	0.8716943351
106	0.559570939	0.8704159201
107	0.5598174453	0.8696541086
108	0.5590557352	0.8687056834
109	0.560741953	0.8677881285
110	0.5607745991	0.8669407928
111	0.562658759	0.8656954336
112	0.5623388802	0.8648215731
113	0.5649594713	0.8638689771
114	0.5658223369	0.8629193571
115	0.5665516487	0.8619711424
116	0.5683837209	0.8610613412
117	0.5686101481	0.8596207947
118	0.5701432009	0.8584149595
119	0.5702797967	0.8572505708
120	0.5705243687	0.8567419758
121	0.5730253183	0.8552817077
122	0.5733280333	0.8541208517
123	0.5734233598	0.8534005326
124	0.5750211233	0.852450822
125	0.5771194584	0.8514254791
126	0.5790573191	0.8502123243
127	0.5796503325	0.8491517312
128	0.5806523445	0.8481469006
129	0.5814628296	0.8469066394
130	0.5827366844	0.8460217662
131	0.5833998901	0.8452198509
132	0.5833998901	0.8440488483
133	0.5833753055	0.8433402157
134	0.5850954273	0.8425079586
135	0.5857004659	0.8417370654
136	0.5864159899	0.840998287
137	0.5872105108	0.8400762451
138	0.5887644227	0.8393438938
139	0.5895875839	0.8384122155
140	0.5898317433	0.8370566358
141	0.5914077048	0.8359296591
142	0.591692425	0.8349136421
143	0.5945939084	0.8340443522
144	0.5964540704	0.8327790524
145	0.5993336997	0.8314211831
146	0.6000234064	0.8303667817
147	0.5997189731	0.8293373683
148	0.6006586382	0.828759157
149	0.6040808709	0.8278980197
150	0.6053832972	0.8266391497
151	0.6061626368	0.8258034958
152	0.6069694311	0.8250581956
153	0.6078979755	0.8245756355
154	0.6092069459	0.8240495073
155	0.6086550324	0.8239373481
156	0.6106305674	0.8230006426
157	0.612110239	0.8220849325
158	0.6113476918	0.8210022936
159	0.6119930577	0.8204051231
160	0.6138378329	0.8196291114
161	0.6155339154	0.8184244729
162	0.616785993	0.8175147856
163	0.6189947498	0.8167849184
164	0.6207561545	0.8158866415
165	0.6222360581	0.8149006799
166	0.6233146178	0.8141005593
167	0.6250460558	0.8128091381
168	0.6266425839	0.8118956293
169	0.6272850257	0.811065003
170	0.628083268	0.8103974203
171	0.6288913423	0.8096845299
172	0.6299423397	0.8088972292
173	0.6300255108	0.8085345692
174	0.6315952322	0.8077024094
175	0.6328112783	0.8067870955
176	0.6335506151	0.8061685873
177	0.6338314886	0.8053000605
178	0.6365140284	0.8040326916
179	0.6380001144	0.8030061247
