iter	Passed	Remaining
0	6	12022
1	12	11511
2	19	11716
3	25	11479
4	31	11366
5	38	11398
6	44	11338
7	51	11494
8	57	11375
9	63	11294
10	70	11387
11	75	11316
12	82	11331
13	88	11286
14	94	11254
15	101	11310
16	107	11263
17	113	11209
18	120	11260
19	126	11235
20	132	11243
21	138	11205
22	144	11160
23	151	11218
24	157	11183
25	163	11158
26	169	11149
27	175	11128
28	182	11147
29	188	11124
30	194	11104
31	201	11134
32	207	11119
33	214	11160
34	221	11155
35	227	11130
36	233	11137
37	240	11129
38	246	11114
39	252	11125
40	259	11120
41	266	11143
42	272	11123
43	278	11107
44	284	11111
45	291	11097
46	298	11116
47	304	11112
48	310	11090
49	317	11095
50	323	11089
51	330	11114
52	336	11104
53	342	11070
54	349	11077
55	355	11073
56	362	11082
57	368	11062
58	374	11048
59	381	11068
60	387	11059
61	394	11055
62	400	11045
63	406	11030
64	413	11032
65	419	11021
66	425	11003
67	432	11011
68	438	11000
69	445	11005
70	451	11000
71	457	10978
72	464	10982
73	470	10972
74	477	10978
75	483	10963
76	489	10946
77	495	10949
78	502	10939
79	507	10917
80	514	10916
81	520	10907
82	527	10911
83	533	10893
84	539	10881
85	546	10890
86	552	10881
87	559	10886
88	565	10875
89	571	10864
90	578	10869
91	585	10867
92	591	10860
93	597	10848
94	603	10837
95	610	10838
96	616	10831
97	622	10816
98	629	10818
99	635	10805
100	642	10811
101	648	10803
102	654	10791
103	661	10790
104	667	10780
105	674	10773
106	679	10757
107	686	10749
108	693	10751
109	699	10748
110	705	10733
111	712	10732
